window_start	window_end	window_start_numeric	window_end_numeric
2012-04-01	2013-03-31	2012.2486338797814	2013.2465753424658
2012-10-01	2013-09-30	2012.7486338797814	2013.7479452054795
2013-04-01	2014-03-31	2013.2465753424658	2014.2465753424658
2013-10-01	2014-09-30	2013.7479452054795	2014.7479452054795
2014-04-01	2015-03-31	2014.2465753424658	2015.2465753424658
2014-10-01	2015-09-30	2014.7479452054795	2015.7479452054795
2015-04-01	2016-03-31	2015.2465753424658	2016.2486338797814
2015-10-01	2016-09-30	2015.7479452054795	2016.7486338797814
2016-04-01	2017-03-31	2016.2486338797814	2017.2465753424658
2016-10-01	2017-09-30	2016.7486338797814	2017.7479452054795
2017-04-01	2018-03-31	2017.2465753424658	2018.2465753424658
2017-10-01	2018-09-30	2017.7479452054795	2018.7479452054795
2018-04-01	2019-03-31	2018.2465753424658	2019.2465753424658
2018-10-01	2019-09-30	2018.7479452054795	2019.7479452054795
2019-04-01	2020-03-31	2019.2465753424658	2020.2486338797814
2019-10-01	2020-09-30	2019.7479452054795	2020.7486338797814
2020-04-01	2021-03-31	2020.2486338797814	2021.2465753424658
2020-10-01	2021-09-30	2020.7486338797814	2021.7479452054795
2021-04-01	2022-03-31	2021.2465753424658	2022.2465753424658
2021-10-01	2022-09-30	2021.7479452054795	2022.7479452054795
2022-04-01	2023-03-31	2022.2465753424658	2023.2465753424658
2022-10-01	2023-09-30	2022.7479452054795	2023.7479452054795
2023-04-01	2024-03-31	2023.2465753424658	2024.2486338797814
2023-10-01	2024-09-30	2023.7479452054795	2024.7486338797814
2024-04-01	2025-03-31	2024.2486338797814	2025.2465753424658
2024-10-01	2025-09-30	2024.7486338797814	2025.7479452054795
2025-04-01	2026-03-31	2025.2465753424658	2026.2465753424658
2025-10-01	2026-07-18	2025.7479452054795	2026.545205479452
