label	collection_date	root_to_tip_residual_days
REUNION/CHU725061509401/2025|EPI_ISL_20159799|9d96cbb7db	2025-06-15	1263.4740197815254
MICHIGAN/UML372109099/2020|EPI_ISL_18898265|94afe2a73e	2020-12-05	1324.1804477658188
BALTIMORE/JH54/2023|EPI_ISL_18945643|0fcf2d398f	2023-01-01	1572.7422645057386
FRANCE/NAQRELABHCL025027121903/2014|EPI_ISL_19754484|cf7eacc26e	2014-12-31	3566.9865097585384
VIRGINIA/H203397946/2024|EPI_ISL_19065196|c62d20aa2a	2024-01-12	2454.7478991368453
NAKHONPHANOM/F1072/2025|EPI_ISL_19847555|4ccd4a2672	2025-03-20	1335.7151065458106
HUBEI/IBVHAWB202401150098/2023|EPI_ISL_20382734|6b6d9466a2	2023-03-01	2372.401331906928
WUHAN/HAWB202401150121/2023|EPI_ISL_20299943|d3d17caf61	2023-03-01	2148.835479717043
WUHAN/HAWB202401150132/2023|EPI_ISL_20299945|c20772248e	2023-03-01	2242.7884688326167
HUBEI/IBVHAWB202401150062/2023|EPI_ISL_20382733|380cdd6696	2023-03-01	1331.8692459491122
WUHAN/HAWB202401150122/2023|EPI_ISL_20299944|5d5046e369	2023-03-01	3005.3761223423307
WUHAN/HAWB20240725004/2024|EPI_ISL_20299953|916e43a805	2024-01-20	2518.103568686867
WUHAN/HAWB20240411017/2023|EPI_ISL_20299949|156575521f	2023-03-01	1415.8206200604138
WUHAN/HAWB20240411007/2023|EPI_ISL_20299947|727fc2ed8b	2023-03-01	1251.6125023214993
WUHAN/HAWB20240725007/2024|EPI_ISL_20299954|979439ebd4	2024-01-20	1735.3406479059997
NOVOSIBIRSK/218A28V/2022|EPI_ISL_16993852|a135e3d763	2022-12-21	2348.4727863500243
SHYMKENT/NRL2370/2025|EPI_ISL_19800793|0cb232f9cb	2025-01-13	1857.9841008105375
ALMATY/NRL2537/2024|EPI_ISL_19800849|0cb232f9cb	2024-12-27	1874.9841008105375
ALMATY/NRL2533/2024|EPI_ISL_19800846|0cb232f9cb	2024-12-29	1872.9841008105375
KHABAROVSKKRAI/2677V/2025|EPI_ISL_20375041|5839eb15e8	2021-03-25	1511.0413473565222
RIYADH/41/2023|EPI_ISL_19679458|76e7dcfc36	2023-12-22	1485.9148204653768
RIYADH/44/2023|EPI_ISL_19679457|b509806b0a	2023-12-25	1400.2855367388727
RIYADH/113/2023|EPI_ISL_19679466|4871934497	2023-12-30	1823.7485191837136
RIYADH/73/2023|EPI_ISL_19679444|4871934497	2023-12-28	1825.7485191837136
HONGKONG/RFL1055/2026|EPI_ISL_20506418|cbe2113cb6	2026-05-17	1576.9501120264608
HONGKONG/RFL739/2026|EPI_ISL_20468599|1d3867a3af	2026-04-17	1270.0822048652608
HONGKONG/RFL729/2026|EPI_ISL_20440562|5c010476bf	2026-03-31	1373.4307958219824
DENMARK/14/2026|EPI_ISL_20405798|0b83f70ce4	2026-02-04	1253.7501915482299
AUSTRIA/1791622/2025|EPI_ISL_19772359|27f6a95778	2025-02-05	1285.140869995502
AUSTRIA/1790635/2025|EPI_ISL_19750789|3dd33a6267	2025-02-03	1287.140869995502
AUSTRIA/1796423/2025|EPI_ISL_19847546|48fc5cf3e5	2025-02-20	1270.140869995502
AUSTRIA/1792800/2025|EPI_ISL_19773984|71cb68eea2	2025-02-10	1280.140869995502
BANGKOK/P2218/2026|EPI_ISL_20499672|90f2a3ea77	2026-05-12	1245.4179663759294
BERLIN/25/2025|EPI_ISL_19838295|22b2d17a07	2025-01-27	1294.40698748715
BERLIN/3/2025|EPI_ISL_19767712|22b2d17a07	2025-01-20	1301.40698748715
ABUDHABI/UAE/0005832/2025|EPI_ISL_19905300|c8c2b2533b	2025-03-14	1333.2635348184438
SYDNEY/122/2025|EPI_ISL_20217911.EPI_ISL_20138626|d734ee53d0	2025-07-18	1292.5547989455179
BASHKIRIA/3891V/2025|EPI_ISL_20233271|1f52c9e927	2025-02-08	1284.9379357301973
SAINTPETERSBURG/RIIMH232930S/2025|EPI_ISL_19870586|041dbb93ef	2025-04-14	1303.4683559525258
MADAGASCAR/01727/2025|EPI_ISL_19907462|a0be0a36ac	2025-05-02	1456.268728486332
STAVROPOLKRAI/1551V/2024|EPI_ISL_19737992|f1234cffc8	2024-12-23	1249.5532823226786
NOVOSIBIRSK/RII8715S/2025|EPI_ISL_20154099|632e06579b	2025-03-11	1254.5622236550316
SAINTPETERSBURG/RIIMH232407S/2025|EPI_ISL_19870536|84e49f6999	2025-04-08	1310.1173537142538
NEWYORK/GKISBBBI48383/2025|EPI_ISL_20241946|6e5155da21	2025-10-14	1376.9198989134761
HONGKONG/RFL694/2025|EPI_ISL_20429730|d36b68211f	2025-12-02	1336.3130562825568
