label	collection_date	root_to_tip_residual_days
VLADIVOSTOK/A843/2025|EPI_ISL_20375029|0eee665b72	2025-12-06	1453.738186064193
VLADIVOSTOK/A813/2025|EPI_ISL_20372817|60dfb287f5	2025-11-22	1871.6199398781525
VLADIVOSTOK/A931/2025|EPI_ISL_20376598|f59a0e53be	2025-12-25	1206.027213635521
VLADIVOSTOK/A938/2025|EPI_ISL_20376600|7a85bb436a	2025-12-29	1308.83365128346
HONGKONG/RFL1163/2026|EPI_ISL_20506409|1341abaf4f	2026-05-28	897.5818780276286
FRANCE/IDFRELABIPP06118/2025|EPI_ISL_20357606.EPI_ISL_20212223|ef250222cf	2025-09-15	929.2364898265758
VLADIVOSTOK/A850/2025|EPI_ISL_20375036|fc69f5bd01	2025-11-27	2693.1414305743797
VLADIVOSTOK/A937/2025|EPI_ISL_20376640|dfe679a340	2025-12-29	3497.180041443874
VLADIVOSTOK/A842/2025|EPI_ISL_20372824|cab4fb889d	2025-12-03	1601.9972197082316
VLADIVOSTOK/A876/2025|EPI_ISL_20375057|c899d9ac10	2025-12-12	1440.4131564280665
VLADIVOSTOK/A841/2025|EPI_ISL_20372823|dcab09eba7	2025-11-25	1293.7565206957343
VLADIVOSTOK/A950/2026|EPI_ISL_20376602|8a8713d574	2026-01-13	1421.908437817192
CACERES/53019298/2025|EPI_ISL_20378503|9bdb0c594f	2012-12-12	4912.080585293268
AUSTRIA/1870030/2025|EPI_ISL_20290130|13de9c165b	2025-12-15	926.497123504843
AUSTRIA/1866174/2025|EPI_ISL_20284586|6f5d3aa963	2025-11-28	943.4971235048434
AUSTRIA/1870817/2025|EPI_ISL_20306369|efb58ca9a8	2025-12-16	925.4971235048431
AUSTRIA/1866946/2025|EPI_ISL_20284634|efb58ca9a8	2025-12-02	939.4971235048407
AUSTRIA/1870420/2025|EPI_ISL_20305535|efb58ca9a8	2025-12-16	925.4971235048431
AUSTRIA/1876466/2026|EPI_ISL_20385822|2e5856f339	2026-01-16	894.4971235048416
AUSTRIA/1877262/2026|EPI_ISL_20386071|ff868aea0a	2026-01-20	945.6524593840974
AUSTRIA/1872766/2025|EPI_ISL_20373022|b0d18acfd9	2025-12-30	966.6524593840971
AUSTRIA/1872571/2025|EPI_ISL_20372968|8b3aa8ef62	2025-12-29	967.6524593840969
AUSTRIA/1870041/2025|EPI_ISL_20305513|86c22739fb	2025-12-15	1024.652274207187
AUSTRIA/1870404/2025|EPI_ISL_20305533|7aeaab47e7	2025-12-16	1044.4237847498969
AUSTRIA/1872541/2025|EPI_ISL_20372963|9a9868014e	2025-12-29	1024.501032504328
AUSTRIA/1870831/2025|EPI_ISL_20306370|64bb533fbf	2025-12-17	1034.7449285447744
AUSTRIA/1868516/2025|EPI_ISL_20290118|1f5069df8d	2025-12-03	1048.744928544772
AUSTRIA/1866550/2025|EPI_ISL_20284627|bbc7e06b6e	2025-12-01	1050.7449285447715
AUSTRIA/1872773/2025|EPI_ISL_20373023|cc71348457	2025-12-29	1022.744928544773
AUSTRIA/1872185/2025|EPI_ISL_20372960|cb3fc4237e	2025-12-22	993.3452695950589
AUTSRIA/1876479/2026|EPI_ISL_20385847|f329869932	2026-01-17	1058.847036452356
AUSTRIA/1876083/2026|EPI_ISL_20385819|6e1035b731	2026-01-14	1061.8470364523555
AUSTRIA/1872782/2025|EPI_ISL_20373024|da3a537e37	2025-12-25	1081.8470364523555
AUSTRIA/1873937/2026|EPI_ISL_20385803|210cc8bda9	2026-01-08	912.2646413618709
AUSTRIA/1876459/2026|EPI_ISL_20385821|31ed1863f6	2026-01-13	907.606312924774
AUSTRIA/1870438/2025|EPI_ISL_20306360|6c8dfafb5b	2025-12-16	1424.1616054557412
AUSTRIA/1872164/2025|EPI_ISL_20372958|3724cbbeb5	2025-12-20	1032.6442425053085
AUSTRIA/1874711/2026|EPI_ISL_20385811|c8a24459a2	2026-01-12	897.7485914401818
AUSTRIA/1873196/2026|EPI_ISL_20384167|6f87f940a1	2026-01-05	905.814541185545
AUSTRIA/1873973/2026|EPI_ISL_20385808|f8780d564f	2026-01-07	902.2116459277667
ODISHA/1640/2022|EPI_ISL_20249757|0d065b2579	2022-12-18	919.8943077102239
HUMAN/NEWYORKCITY/PV42530/2021|EPI_ISL_16836610.EPI_ISL_20284799.EPI_ISL_20284742|22d9df1949	2021-11-30	967.1364527080123
GALICIA/52547799/2020|EPI_ISL_20168331|4071c00b40	2020-06-06	1508.8788934558286
SAUDIARABIA/65/2022|EPI_ISL_20205293|ea1ff5a46e	2022-02-19	1039.1061885169863
PHILIPPINES/ILI241690/2020|EPI_ISL_19414541|5734a6a2a2	2020-09-26	1397.5399220098807
ASTURIAS/232461330/2024|EPI_ISL_19855166|ff5ba16179	2024-08-03	1365.6862853460218
MALAYSIA/2304042/2023|EPI_ISL_20485044|57f2ef507d	2023-04-01	1022.4337176763775
PAISVASCO/67964750/2025|EPI_ISL_19899288|ef197bcb67	2025-02-20	-941.0140135169917
LOUISIANA/07/2016|EPI_ISL_219231.EPI_ISL_20284787|84d652966a	2016-02-24	2981.8920284058527
H3A/SAUDIARABIA/KFMC38/2019|EPI_ISL_16079339|14b9971b87	2019-11-05	934.5096609491903
MICHIGAN/UM10061291423/2024|EPI_ISL_19699388|dcee613a01	2024-12-13	-1031.1802301013538
MICHIGAN/UM10061298306/2024|EPI_ISL_19699390|50a933b15b	2024-12-14	-1031.7084372637455
MICHIGAN/UM10061301360/2024|EPI_ISL_19699392|50a933b15b	2024-12-14	-1031.7084372637455
SIENA/54/2024|EPI_ISL_19210404|680b917fb1	2024-01-31	-1158.4692547896943
SIENA/8/2024|EPI_ISL_19210419|3bf53e48b3	2024-01-15	-1142.4692547896937
