label	collection_date	root_to_tip_residual_days
ASTURIAS/232584004/2025|EPI_ISL_20305793|15df1bd99f	2025-12-04	745.0685854564596
CACERES/59992996/2025|EPI_ISL_20378504|849225c1e0	2012-12-12	4787.290486920587
ODISHA/1496/2026|EPI_ISL_20511803|9b893fb688	2026-06-10	1804.2501299297166
ODISHA/1286/2026|EPI_ISL_20511783|5e017ec871	2026-05-20	1994.2697325258823
ODISHA/1322/2026|EPI_ISL_20511785|0453d4903e	2026-05-23	1991.548535767513
ODISHA/1457/2026|EPI_ISL_20511792|719cfaf898	2026-06-06	1808.1033181499151
ODISHA/1483/2026|EPI_ISL_20511802|f0180478a8	2026-06-09	1805.103318149914
ODISHA/1441/2026|EPI_ISL_20511789|825bd6d51f	2026-06-04	1810.082011327949
ODISHA/1034/2026|EPI_ISL_20511590|b6d97feb29	2026-04-23	1894.6689647927874
ODISHA/0857/2026|EPI_ISL_20511831|b79db2031e	2025-10-11	3582.942211819524
ODISHA/1319/2026|EPI_ISL_20511784|f79f6934d9	2026-05-23	2741.558414728592
ODISHA/1242/2026|EPI_ISL_20511775|cb0ff5b050	2026-05-18	2023.464787643084
ODISHA/1324/2026|EPI_ISL_20511786|268982766d	2026-05-23	2049.636516274502
ODISHA/1432/2026|EPI_ISL_20511787|ecbf21c722	2026-06-03	2156.4193891869154
ODISHA/1742/2025|EPI_ISL_20506869|2cadde6deb	2025-09-03	2490.9097277172255
MD/DEDHSS1299/2025|EPI_ISL_19815545|7e1cf901a6	2025-02-13	936.3739822986913
GALICIA/SCQ/122721/2025|EPI_ISL_19729387|52ecb6e51f	2025-02-03	860.5551355855118
WYOMING/0319/2025|EPI_ISL_20392013|30e8f74f8f	2024-11-25	2092.2506528710574
BOLZANO/09/2025|EPI_ISL_19778378|62d05071ef	2025-01-13	746.9389108516343
TENNESSEE/NIRCAV1001/2021|EPI_ISL_20461088|ee8c92c311	2021-12-10	1333.3718864630894
GALICIA/22785008/2020|EPI_ISL_20168332|3571f8a3b2	2020-06-23	1826.4187677559507
SOUTHDAKOTA/INBRE026734/2022|EPI_ISL_18758937|9855f1f57b	2022-01-01	805.5423384246282
SAOPAULO/CEVI2200063/2021|EPI_ISL_18723320|0687decba7	2021-04-18	811.2022634959462
BALTIMORE/JH799/2024|EPI_ISL_19158481|7fe628a6ce	2022-01-01	1226.1690860028828
BALTIMORE/JH101/2024|EPI_ISL_19033071|40069eb6c8	2023-01-01	776.9847678940002
BALTIMORE/JH832/2023|EPI_ISL_18937891|0e6e752983	2023-01-01	777.4674966802338
BALTIMORE/JH78/2023|EPI_ISL_18938282|89c01682e1	2023-01-01	778.1921337905259
BALTIMORE/JH39/2023|EPI_ISL_18937933|89c01682e1	2023-01-01	778.1921337905259
BALTIMORE/JH78/2024|EPI_ISL_19033066|89c01682e1	2023-01-01	778.1921337905259
BALTIMORE/JH62/2023|EPI_ISL_18938209|c0b91ab427	2023-01-01	820.2467370020327
BALTIMORE/JH613/2023|EPI_ISL_18937757|b45f37bce3	2022-01-01	763.9022862640046
SPAIN/187/2023|EPI_ISL_18864987.EPI_ISL_19192322|18d2559f7f	2021-11-21	804.8317356465744
BALTIMORE/JH791/2024|EPI_ISL_19158458|a607ec4315	2022-01-01	848.0186360045063
BALTIMORE/JH787/2024|EPI_ISL_19158477|c1553a90b7	2022-01-01	847.9516160046721
BALTIMORE/JH876/2024|EPI_ISL_19158488|c1e4cf86a5	2022-01-01	805.6090957018913
MADRID/HRYC12966631/2023|EPI_ISL_19030033|771079a9d4	2023-11-18	885.7259036082472
BALTIMORE/JH583/2024|EPI_ISL_19158439|3f7b6a9d48	2022-01-01	805.819877177219
BALTIMORE/JH832/2024|EPI_ISL_19158485|fce4e016ac	2022-01-01	763.4913520319329
BALTIMORE/JH675/2024|EPI_ISL_19158470|1d20eefb80	2022-01-01	805.9255820288138
BALTIMORE/JH579/2024|EPI_ISL_19158438|3c64505f78	2022-01-01	764.3879462865555
BALTIMORE/JH901/2024|EPI_ISL_19158492|e2528ff6d1	2022-01-01	763.4425023838091
BALTIMORE/JH789/2024|EPI_ISL_19158478|a0cd3a0179	2022-01-01	764.007494354818
BALTIMORE/JH792/2024|EPI_ISL_19158479|a0cd3a0179	2022-01-01	764.007494354818
BALTIMORE/JH574/2024|EPI_ISL_19158433|f2490990a1	2022-01-01	763.8757944057248
BALTIMORE/JH606/2024|EPI_ISL_19158443|be56150d5e	2022-01-01	763.5240594408333
BALTIMORE/JH602/2024|EPI_ISL_19158442|612bb61514	2022-01-01	763.4477982643585
WASHINGTON/078328/2022|EPI_ISL_20317808|cc2ac7b6ff	2022-01-01	763.7275785518519
WASHINGTON/NJMR63/2022|EPI_ISL_20317482|a991399fac	2022-01-01	763.7275785518519
WASHINGTON/7MLF71/2022|EPI_ISL_20318175|30bbe60728	2022-01-01	763.7275785518519
WASHINGTON/9P95BB/2022|EPI_ISL_20317978|97c68cfa08	2022-01-01	763.7275785518519
WASHINGTON/109037/2022|EPI_ISL_20317622|8d8513464d	2022-01-01	763.7275785518519
DISTRITOFEDERAL/22114076/2018|EPI_ISL_18909320|8562d16c05	2018-05-25	2249.193006801943
GALICIA/44137899/2024|EPI_ISL_19615423|7a413ccfc8	2024-05-16	1200.1514837103596
GALICIA/33157447/2023|EPI_ISL_19586446|16ad04b3fc	2023-12-13	1888.836971525905
RIOGRANDEDONORTE/2023033794IEC/2023|EPI_ISL_18349962|f3a368e700	2023-06-16	1041.8171206232662
PARA/2023009027IEC/2023|EPI_ISL_17681747|dac807470c	2023-03-22	824.8290533771159
RIOGRANDEDONORTE/2023012245IEC/2023|EPI_ISL_17858003|e953e28db0	2023-04-14	886.2043692461533
WASHINGTON/109147/2022|EPI_ISL_20317607|f709c808b3	2022-01-01	847.9394477176899
SOUTHDAKOTA/INBRE025684/2022|EPI_ISL_18755869|2d27c83a33	2022-01-01	1142.3914982192794
SOUTHDAKOTA/INBRE025744/2022|EPI_ISL_18755588|2d27c83a33	2022-01-01	1142.3914982192794
SOUTHDAKOTA/INBRE025754/2022|EPI_ISL_18755623|2d27c83a33	2022-01-01	1142.3914982192794
SOUTHDAKOTA/INBRE025734/2022|EPI_ISL_18755596|2d27c83a33	2022-01-01	1142.3914982192794
SOUTHDAKOTA/INBRE026374/2022|EPI_ISL_18759357|2d27c83a33	2022-01-01	1142.3914982192794
SOUTHDAKOTA/INBRE026394/2022|EPI_ISL_18758734|2d27c83a33	2022-01-01	1142.3914982192794
UTAH/IVYD13J40F8/2022|EPI_ISL_16631852|cd78c958d5	2022-11-07	790.405048093044
MISSOURI/13985/2022|EPI_ISL_16744229|cd78c958d5	2022-12-19	748.4050480930429
UTAH/72/2022|EPI_ISL_16830500.EPI_ISL_16763984|669225bf3f	2022-12-01	766.4050480930423
UTAH/IVYD13J56F2/2022|EPI_ISL_16957248|cd78c958d5	2022-12-05	762.4050480930446
MISSOURI/USAFSAM13985/2022|EPI_ISL_16919182|cd78c958d5	2022-12-19	748.4050480930429
UTAH/IVYG43P90I7/2022|EPI_ISL_17019067|a9a042478f	2022-12-15	794.4817094002368
WASHINGTON/2GKFJ5/2022|EPI_ISL_20317693|be765f2746	2022-01-01	805.722637620785
WASHINGTON/7S5KA0/2022|EPI_ISL_20318161|c83ecd9180	2022-01-01	848.1608744225741
RIOGRANDEDONORTE/2023012263IEC/2023|EPI_ISL_17858006|ec9a7f0995	2023-04-24	754.7223492717562
BALTIMORE/JH147/2023|EPI_ISL_18937740|df1db0fad5	2022-01-01	763.6202480293864
AMAZONAS/2023008630IEC/2023|EPI_ISL_17681707|ab8645dac0	2023-03-17	747.6516241817156
SAOPAULO/356765942IAL/2022|EPI_ISL_15390092|f69afc471f	2022-09-26	1177.3707841485166
HUMAN/NEWYORKCITY/PV34639/2021|EPI_ISL_16835404.EPI_ISL_20282934|e9b1c1268c	2021-09-13	781.2926853928941
PAKISTAN/NIC/ICT/564/2025|EPI_ISL_19694932|3cd123194e	2025-01-17	-1020.7400649905586
